val_loss,val_acc,epoch,step,test_loss,test_acc
0.2864064872264862,0.9165999889373779,0,859,,
0.2231636941432953,0.9341999888420105,1,1719,,
0.19019803404808044,0.9437999725341797,2,2579,,
,,2,2580,0.17176467180252075,0.947700023651123
